,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度
18,臺北市中正區齊東街82巷1~30號,26.28,5.0,4,5,96.69,0,1,1,1,24500000,253387,RPTOMLSKJIOFFBA28CA,1,1,0,108,779652.3076923076,80.86153846153846,297.5076923076923,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0419815,121.5271164
19,臺北市中正區林森南路61~90號,24.0,13.0,4,4,134.46,2,1,2,1,30500000,226833,RPPOMLLKKIOFFBA27CA,2,1,0,108,697947.6923076923,73.84615384615384,413.7230769230769,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0399087,121.5222048
20,臺北市中正區臨沂街31~60號,50.35,7.0,4,11,322.59000000000003,4,2,2,1,76000000,302634,RPROMLOLJIOFFBA87DA,1,1,2,108,931181.5384615384,154.92307692307693,992.5846153846154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0400359,121.5300086
21,臺北市中正區徐州路1~30號,21.29,9.0,4,8,124.29,1,2,2,1,32200000,259072,RPTOMLKLJIOFFBA57CA,1,1,2,108,797144.6153846154,65.50769230769231,382.4307692307692,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0420499,121.5190241
22,臺北市中正區南昌路二段1~30號,19.99,13.0,4,8,224.76999999999998,3,2,2,1,50000000,222450,RPVNMLRKKIOFFAA28CA,2,1,1,108,684461.5384615384,61.5076923076923,691.5999999999999,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0281844,121.5193946
23,臺北市中正區師大路181~210號,22.9,12.0,4,40,167.46,4,2,2,1,25500000,152275,RPRNMLRLJIOFFAA87CA,2,1,0,108,468538.4615384615,70.46153846153845,515.2615384615385,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0207483,121.5265306
24,臺北市中正區重慶南路三段61~90號,15.02,12.0,4,38,121.24,3,2,2,1,17000000,140218,RPTOMLTKJIOFFAA28CA,1,1,0,108,431440.0,46.215384615384615,373.0461538461538,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0267015,121.5163423
25,臺北市中正區羅斯福路二段66巷1~30號,8.76,12.0,4,39,85.01,2,2,2,1,20580000,242089,RPRPMLKLJIOFFAA37CA,2,1,0,108,744889.2307692308,26.953846153846154,261.5692307692308,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0273552,121.5216878
26,臺北市中正區羅斯福路二段1~30號,5.89,12.0,4,39,62.510000000000005,3,1,2,1,6000000,96000,RPVOMLNJKIOFFAA87CA,1,1,0,108,295384.6153846154,18.123076923076923,192.33846153846156,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0295892,121.5208977
27,臺北市中正區?門街147巷1~30號,33.0,5.0,4,35,117.47,2,2,1,0,16000000,136205,RPSOMLNJKIOFFAA57CA,1,1,0,108,419092.3076923077,101.53846153846153,361.44615384615383,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.021579,121.5188975
28,臺北市中正區水源路61~90號,9.98,12.0,4,36,103.53999999999999,3,2,2,1,18050000,174329,RPQNMLKMJIOFFAA27DA,3,1,0,108,536396.923076923,30.70769230769231,318.58461538461535,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020779,121.52133
29,臺北市中正區金山南路一段30巷1~30號,38.5,6.0,4,45,152.79,5,2,2,0,40000000,261797,RPUOMLOJKIOFFBA08DA,1,1,0,108,805529.2307692308,118.46153846153845,470.1230769230769,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0419411,121.5292903
30,臺北市中正區新生南路一段160巷1~30號,28.92,6.0,4,37,136.64,3,2,2,0,35500000,259807,RPRNMLLJKIOFFBA37DA,2,1,0,108,799406.1538461539,88.98461538461538,420.43076923076916,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.03477,121.532277
31,臺北市中正區水源路61~90號,3.8,11.0,4,16,36.28,1,1,1,1,10500000,289416,RPSOMLMLJIOFFAA67DA,1,1,0,108,890510.7692307692,11.692307692307692,111.63076923076923,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.020779,121.52133
32,臺北市中正區懷寧街8巷1~30號,147.0,3.0,3,35,314.22,8,3,7,0,155660000,495385,RPWOMLLMKIOFFBA18CA,2,2,0,108,1524261.5384615385,452.30769230769226,966.8307692307693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.0462364,121.5139338
33,臺北市中正區汀州路二段61~90號,17.95,19.0,4,4,295.01,3,2,3,1,56980000,226045,RPSOMLRKKIOFFAA08CA,2,1,2,108,695523.0769230769,55.230769230769226,907.7230769230769,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0259532,121.5158269
34,臺北市中正區南昌路二段151~180號,11.83,14.0,4,13,161.26999999999998,3,2,2,1,34260000,212439,RPROMLMLJIOFFAA47CA,2,1,2,108,653658.4615384615,36.4,496.21538461538455,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0258667,121.5224345
