,總樓層數,主要建材,建築完成年月,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝
29,5.0,4,35,3,2,1,0,1,1,1,108,253772.3076923077,84.73846153846154,317.1076923076924,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
30,4.0,4,13,2,2,1,1,3,1,2,108,664855.3846153846,54.676923076923075,337.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
31,3.0,3,35,6,6,3,0,1,1,0,108,595849.2307692308,270.76923076923083,678.4615384615385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,14.0,4,14,1,1,1,1,1,1,1,108,516858.4615384615,18.83076923076923,175.84615384615387,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,9.0,4,31,2,1,1,1,1,1,0,108,491870.7692307692,33.753846153846155,259.84615384615387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,10.0,4,41,1,1,1,1,1,1,0,108,464544.6153846154,16.153846153846153,138.58461538461538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,7.0,4,12,1,1,1,1,1,1,0,108,809876.923076923,35.138461538461534,155.47692307692307,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,6.0,4,45,2,2,1,1,1,1,0,108,645993.8461538461,44.4,190.5230769230769,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
37,18.0,4,19,3,2,2,1,3,1,0,108,583916.923076923,91.6,424.8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
38,7.0,4,29,3,2,2,1,1,1,0,108,603726.1538461539,85.93846153846155,363.8153846153846,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
39,4.0,4,35,3,1,1,0,2,1,0,108,511113.84615384607,95.3846153846154,194.12307692307687,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,16.0,4,3,2,1,1,1,1,1,1,108,956701.5384615384,36.861538461538466,342.67692307692306,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,4.0,4,47,3,2,2,0,1,1,0,108,624270.7692307692,129.23076923076923,326.0615384615384,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,12.0,4,43,2,1,1,1,2,1,0,108,459646.1538461538,16.06153846153846,175.0769230769231,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
43,11.0,4,12,2,2,1,1,1,1,1,108,321646.1538461538,54.12307692307692,382.64615384615377,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
44,13.0,4,24,2,1,1,1,1,1,0,108,368283.07692307694,31.38461538461538,215.93846153846158,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
45,4.0,4,45,4,2,2,0,1,1,0,108,328858.4615384615,289.6,316.67692307692306,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
46,13.0,4,12,0,0,0,1,1,1,0,108,307692.3076923077,24.246153846153845,150.15384615384613,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
47,5.0,4,39,3,2,2,0,1,1,0,108,417987.69230769225,102.27692307692308,351.07692307692304,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
48,4.0,3,35,2,1,1,0,1,1,0,108,656076.923076923,94.6153846153846,256.8615384615385,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
49,1.0,2,35,2,1,3,0,2,1,0,108,1200360.0,353.8461538461538,331.2615384615385,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
50,8.0,4,43,1,0,1,0,1,1,0,108,301658.4615384615,12.707692307692305,78.46153846153845,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
51,5.0,4,45,3,2,2,0,1,1,0,108,336569.23076923075,87.38461538461539,281.2923076923077,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
52,5.0,4,30,3,2,1,0,1,1,0,108,842772.3076923076,78.09230769230768,354.9846153846154,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
53,4.0,3,35,4,2,2,0,1,1,0,108,764741.5384615384,153.84615384615384,427.10769230769233,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
54,14.0,4,14,0,0,0,1,2,1,0,108,1106236.923076923,10.184615384615384,119.8153846153846,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
55,12.0,4,16,1,1,1,1,1,1,0,108,728775.3846153845,36.153846153846146,167.3230769230769,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
56,3.0,4,23,0,0,0,0,1,1,0,108,732126.1538461539,96.92307692307692,190.0923076923077,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
57,4.0,4,50,3,2,1,0,1,1,0,108,599575.3846153846,73.84615384615384,247.9076923076923,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
58,5.0,4,32,3,2,2,1,1,1,0,108,361326.1538461538,111.78461538461538,335.38461538461536,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
59,14.0,4,8,4,2,2,1,1,1,1,103,193526.15384615387,164.55384615384614,635.9692307692308,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
60,12.0,4,21,3,2,2,0,1,1,1,108,477578.4615384615,144.8923076923077,477.75384615384615,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,14.0,4,6,2,2,2,1,1,1,1,108,585206.1538461539,64.55384615384615,689.5384615384614,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
62,14.0,4,13,2,2,1,1,1,1,1,108,594024.6153846154,68.55384615384615,365.8153846153846,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
63,9.0,4,35,4,2,2,1,1,1,0,108,483236.9230769231,82.4,401.6307692307692,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
64,13.0,4,4,2,2,2,1,1,1,1,108,726529.2307692308,53.784615384615385,409.0153846153846,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
