,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度,周邊機能-機場,周邊機能-銀行,周邊機能-便利商店,周邊機能-醫院,周邊機能-公園,周邊機能-停車場,周邊機能-國小,周邊機能-國中,周邊機能-捷運,周邊機能-殯儀館
15,臺北市松山區新東街31~60號,58.75,4.0,4,35,162.38,4,2,1,0,24500000,150881,RPWQMLOKJIOFFDA68DA,1,1,0,108,464249.23076923075,180.76923076923077,499.6307692307692,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,25.0595706,121.5658106,0,10,17,3,6,8,4,2,0,0
16,臺北市松山區南京東路五段301~330號,5.55,12.0,4,32,54.39,2,1,1,1,9200000,169149,RPRNMLPKJIOFFDA97DA,1,1,0,108,520458.4615384615,17.076923076923077,167.35384615384615,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25.0515776,121.5664223,1,20,19,6,6,18,1,1,1,0
17,臺北市松山區八德路二段361~390號,4.39,12.0,4,35,50.34,0,0,1,1,12180000,241955,RPSOMLRLJIOFFDA38CA,1,1,0,108,744476.923076923,13.507692307692306,154.8923076923077,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25.0475411,121.5438319,0,20,20,9,8,20,3,2,1,0
18,臺北市松山區南京東路五段211~240號,4.42,18.0,4,12,54.84,1,1,1,1,13260000,241794,RPVNMLSKJIOFFDA58CA,1,1,0,108,743981.5384615384,13.6,168.73846153846154,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25.05189,121.5578,0,20,20,20,8,20,3,2,0,0
19,臺北市松山區南京東路四段133巷6弄1~30號,26.2,5.0,4,38,103.52,3,1,2,0,26450000,255506,RPXNMLMLJIOFFDA28CA,1,1,0,108,786172.3076923076,80.61538461538461,318.5230769230769,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,25.0525826,121.5550442,0,18,20,20,10,20,3,2,1,0
20,臺北市松山區南京東路五段31~60號,10.69,19.0,4,31,147.71,3,2,2,1,29100000,197021,RPUPMLTKJIOFFDA78CA,1,1,1,108,606218.4615384615,32.89230769230769,454.4923076923077,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25.0517333,121.5582314,0,20,20,20,5,20,3,2,0,0
21,臺北市松山區延壽街330巷17弄1~30號,23.83,12.0,4,28,131.07,3,2,2,1,26600000,202945,RPPNMLKMJIOFFDA37CA,2,1,1,108,624446.1538461539,73.32307692307691,403.29230769230765,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25.0549599,121.5608468,0,19,20,15,7,13,4,1,1,0
22,臺北市松山區寶清街1~30號,6.42,10.0,4,31,69.77000000000001,2,1,1,1,13550000,194210,RPTOMLMKKIOFFDA97CA,1,1,0,108,597569.2307692308,19.753846153846155,214.6769230769231,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,25.0496729,121.5691247,1,14,18,5,7,12,1,1,0,0
23,臺北市松山區延壽街72巷1~30號,22.48,7.0,4,29,89.74000000000001,3,2,1,1,9700000,108090,RPQOMLLKKIOFFDA57CA,1,1,0,108,332584.6153846154,69.16923076923077,276.12307692307695,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,25.0567295,121.5657404,0,9,17,4,10,11,1,2,0,0
24,臺北市松山區富錦街572巷1~30號,40.0,4.0,4,51,108.69,3,2,2,0,19080000,175545,RPOOMLRJKIOFFDA87CA,1,1,0,108,540138.4615384615,123.07692307692307,334.4307692307692,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,25.0625049,121.5673112,0,5,10,2,8,3,2,1,0,0
