,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度,周邊機能-機場,周邊機能-銀行,周邊機能-便利商店,周邊機能-醫院,周邊機能-公園,周邊機能-停車場,周邊機能-國小,周邊機能-國中,周邊機能-捷運,周邊機能-殯儀館
15,臺北市文山區忠順街一段1~30號,34.49,14.0,4,2,301.3,4,2,2,1,46750000,202982,RPUNMLMLJIOFFAA67CA,1,1,2,107,624560.0,106.12307692307692,927.0769230769231,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24.9834355,121.5549737,0,3,9,0,7,9,1,2,0,0
16,臺北市文山區忠順街一段1~30號,15.29,14.0,4,2,137.97,1,1,1,1,20000000,189547,RPVNMLMLJIOFFAA77CA,1,1,1,108,583221.5384615385,47.04615384615384,424.5230769230769,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24.9834355,121.5549737,0,3,9,0,7,9,1,2,0,0
17,臺北市文山區景豐街62巷1~30號,10.5,8.0,4,27,72.16,1,1,1,1,8460000,117239,RPWNMLKLJIOFFAA67CA,1,1,1,108,360735.3846153846,32.30769230769231,222.0307692307692,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,25.000855,121.5457549,0,5,9,0,15,10,1,1,0,0
18,臺北市文山區興隆路二段203巷121~150號,39.24,11.0,4,7,199.2,3,2,2,1,23700000,118976,RPQOMLTKJIOFFAA97CA,3,1,1,108,366080.0,120.73846153846154,612.9230769230769,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,25.0032419,121.546568,0,4,9,0,7,9,1,1,0,0
19,臺北市文山區興隆路二段244巷37弄1~30號,29.82,5.0,4,39,110.74,3,2,2,0,11800000,106556,RPSOMLTKJIOFFAA18CA,1,1,0,108,327864.6153846154,91.75384615384615,340.73846153846154,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,24.9994118,121.5534192,0,7,11,15,3,9,2,0,1,1
20,臺北市文山區指南路三段32巷1~30號,33.74,11.0,4,11,164.55,3,2,2,1,18500000,112428,RPROMLNKJIOFFAA47CA,3,1,1,108,345932.3076923077,103.81538461538462,506.3076923076923,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24.9827444,121.5801872,0,0,1,0,7,4,1,1,0,0
21,臺北市文山區興隆路一段70巷11弄1~30號,16.96,4.0,4,35,48.73,1,1,1,0,8600000,176483,RPPOMLNJKIOFFAA27CA,1,1,0,108,543024.6153846154,52.184615384615384,149.93846153846152,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,25.0025991,121.5404445,0,3,14,1,12,9,3,0,1,1
22,臺北市文山區汀州路四段211~240號,35.61,14.0,4,11,180.18,3,2,2,1,20578000,114208,RPSNMLTJKIOFFAA08CA,1,1,1,108,351409.23076923075,109.56923076923077,554.4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,25.0031748,121.5360205,0,2,7,1,10,5,2,0,1,1
23,臺北市文山區汀州路四段241~270號,35.52,14.0,4,11,179.66000000000003,3,2,2,1,24860000,138372,RPUNMLTJKIOFFAA28CA,1,1,1,108,425760.0,109.2923076923077,552.8000000000001,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,25.0018639,121.5356162,0,2,9,1,9,3,2,0,1,1
24,臺北市文山區汀州路四段271~300號,35.8,14.0,4,11,181.06,3,2,2,1,24238000,133867,RPXNMLTJKIOFFAA58CA,1,1,1,108,411898.4615384615,110.15384615384615,557.1076923076923,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,25.0011948,121.5356158,0,2,10,1,9,4,2,0,1,1
25,臺北市文山區興隆路二段130巷31~60號,20.75,4.0,3,52,46.32,3,2,2,0,6000000,129534,RPWPMLKKKIOFFAA87CA,1,1,0,108,398566.1538461538,63.84615384615385,142.52307692307693,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,25.0011935,121.5510717,0,6,12,2,6,7,2,1,0,1
26,臺北市文山區恆光街51巷1~30號,37.67,5.0,4,29,129.16,4,2,2,1,15800000,122329,RPPOMLMKKIOFFAA27CA,1,1,0,108,376396.92307692306,115.90769230769232,397.4153846153846,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,24.9821108,121.5675954,0,2,7,3,6,4,0,2,0,0
