,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度,周邊機能-機場,周邊機能-銀行,周邊機能-便利商店,周邊機能-醫院,周邊機能-公園,周邊機能-停車場,周邊機能-國小,周邊機能-國中,周邊機能-捷運,周邊機能-殯儀館
15,臺北市內湖區民權東路六段180巷42弄1~30號,9.54,15.0,4,3,136.0,1,1,1,1,20850000,196419,RPVNMLKMKIOFFCA97CA,1,1,2,108,604366.1538461539,29.35384615384615,418.46153846153845,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25.067466,121.592463,0,6,9,19,6,12,1,0,0,0
16,臺北市內湖區文德路210巷30弄1~30號,9.64,12.0,4,11,75.42,2,1,1,1,14820000,196500,RPOPMLRLJIOFFCA08DA,1,1,0,108,604615.3846153846,29.661538461538463,232.06153846153845,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0770655,121.5840142,0,3,6,2,8,6,1,2,1,0
17,臺北市內湖區安康路241~270號,19.48,12.0,4,7,127.88999999999999,3,2,2,1,18700000,143597,RPTRMLRLJIOFFCA78DA,1,1,1,108,441836.92307692306,59.93846153846154,393.50769230769225,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0662543,121.6134614,0,5,7,3,8,9,2,2,1,0
18,臺北市內湖區成功路四段41巷1~30號,13.56,14.0,4,38,101.0,3,2,2,1,18880000,186931,RPSQMLLLJIOFFCA97DA,2,1,0,108,575172.3076923076,41.723076923076924,310.7692307692308,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0811209,121.5917555,0,12,16,13,6,17,2,4,1,0
19,臺北市內湖區大湖街160巷1~30號,56.28,3.0,4,27,160.67000000000002,3,2,2,1,25500000,158710,RPQQMLPKJIOFFCA08DA,1,1,1,108,488338.4615384615,173.16923076923078,494.3692307692308,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0841863,121.6003476,0,1,6,2,10,8,1,0,1,0
20,臺北市內湖區五分街72巷1~30號,19.63,12.0,4,14,122.33000000000001,2,2,1,1,16760000,175882,RPSQMLPKJIOFFCA28DA,1,1,1,108,541175.3846153846,60.39999999999999,376.40000000000003,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0666007,121.6163071,0,6,10,5,10,8,1,1,1,0
21,臺北市內湖區內湖路二段179巷46弄1~30號,51.27,5.0,4,38,105.48,3,2,1,0,14800000,140311,RPQQMLLLJIOFFCA67CA,2,1,0,108,431726.1538461538,157.75384615384615,324.55384615384617,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,25.0833634,121.5861755,0,1,3,10,4,6,0,2,0,0
22,臺北市內湖區行善路333巷91~120號,40.42,9.0,4,2,199.1,4,2,2,1,36500000,208117,RPTNMLNLJIOFFCA87CA,1,1,1,108,640360.0,124.36923076923077,612.6153846153845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0609034,121.5863622,0,3,7,2,3,12,0,0,0,0
23,臺北市內湖區行善路333巷61~90號,29.97,9.0,4,2,162.57,3,2,2,1,27380000,196153,RPUNMLNLJIOFFCA97CA,1,1,1,108,603547.6923076923,92.21538461538461,500.21538461538455,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0613866,121.5860693,0,2,6,2,4,13,0,0,0,0
24,臺北市內湖區行善路333巷61~90號,29.97,9.0,4,2,161.5,3,2,2,1,27300000,195595,RPVNMLNLJIOFFCA08CA,1,1,1,108,601830.7692307692,92.21538461538461,496.9230769230769,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0613866,121.5860693,0,2,6,2,4,13,0,0,0,0
