,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度,周邊機能-機場,周邊機能-銀行,周邊機能-便利商店,周邊機能-醫院,周邊機能-公園,周邊機能-停車場,周邊機能-國小,周邊機能-國中,周邊機能-捷運,周邊機能-殯儀館
1317,故宮路31~60號,28.6,4.0,4,46,82.31,10,0,4,0,11100000,134856,RPXPMLNLRHPFFEA96DA,1,1,0,109,414941.53846153844,88.0,253.26153846153846,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0969515,121.5472337,0,0,2,0,1,3,0,0,0,0
1318,延平北路五段301~330號,25.0,4.0,3,50,88.51,5,0,2,0,10700000,120890,RPSQMLNLRHPFFEA56DA,2,1,0,109,371969.23076923075,76.92307692307692,272.33846153846156,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0860267,121.5093835,0,6,16,4,4,10,1,0,0,0
1319,中山北路七段211~240號,28.73,7.0,4,36,139.35,3,2,2,1,24640000,176821,RPSOMLOLRHPFFEA09DA,1,1,0,109,544064.6153846154,88.39999999999999,428.7692307692307,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.12624,121.532722,0,2,5,1,6,5,0,0,0,0
1320,德行東路181~210號,33.63,7.0,4,38,161.20999999999998,3,2,2,0,27100000,168104,RPWOMLOLRHPFFEA86DA,1,1,0,109,517243.0769230769,103.47692307692309,496.0307692307691,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.1088363,121.5312044,0,6,16,20,4,20,2,1,0,1
1321,德行西路61~90號,13.7,8.0,4,1,72.25,0,0,0,1,14270000,242039,RPXOMLOLRHPFFEA96DA,1,1,1,109,744735.3846153846,42.15384615384615,222.3076923076923,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.105191,121.5224166,0,17,13,2,10,14,1,1,1,0
1322,承德路四段3巷31~60號,34.38,4.0,3,53,95.41,3,2,1,0,11600000,121581,RPPNMLPLRHPFFEA78DA,2,1,0,109,374095.3846153846,105.78461538461539,293.5692307692307,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0786891,121.5224834,0,2,7,2,8,9,1,1,0,0
1323,社子街63巷31~60號,24.75,4.0,4,45,81.2,3,1,1,0,9860000,121429,RPVNMLQLRHPFFEA86DA,1,1,0,109,373627.6923076923,76.15384615384615,249.84615384615384,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0886722,121.5068883,0,6,15,4,5,12,1,0,0,0
1324,中山北路七段114巷41弄1~30號,39.48,7.0,4,40,192.07,4,2,2,1,22000000,114542,RPXNMLQLRHPFFEA07DA,3,1,1,109,352436.92307692306,121.47692307692306,590.9846153846154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.123323,121.5343412,0,2,5,1,6,9,0,0,0,0
1325,中山北路五段661~690號,20.62,12.0,4,35,222.97000000000003,5,2,3,1,30000000,134547,RPVNMLPLRHPFFEA86EA,1,1,0,109,413990.7692307692,63.44615384615385,686.0615384615385,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,25.0970316,121.5273338,0,11,13,3,7,11,2,1,1,0
1326,天玉街1~30號,33.25,7.0,4,35,165.02,4,2,2,1,29000000,175736,RPWPMLQJQHPFFEA96EA,1,1,0,109,540726.1538461539,102.3076923076923,507.75384615384615,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.1200447,121.5266383,0,9,10,7,8,13,2,2,0,0
